Calendar_date,day_of_week_num,route_id,bus_id,stop_sequence,arrival_delay,dwell_time,travel_time_for_previous_section,scheduled_travel_time,upstream_stop_delay,origin_delay,previous_bus_delay,previous_trip_travel_time,traffic_condition,recurrent_delay,weather,temperature,day_of_week,time_of_day,factor(weather)Light_Rain,factor(weather)Light_Snow,factor(weather)Normal,factor(weather)Rain,factor(weather)Snow,factor(temperature)Cold,factor(temperature)Extra_cold,factor(temperature)Normal,factor(day_of_week)weekday,factor(day_of_week)weekend,factor(time_of_day)Afternoon_peak,factor(time_of_day)Morning_peak,factor(time_of_day)Off-peak
2022-02-02,2,4,45543,11,88,22,103,110,81,8,156,72,79.0,72.314285,Light Snow,Extra cold,weekday,MP,0,1,0,0,0,0,1,0,1,0,0,1,0
2022-01-10,0,4,44058,10,52,25,33,118,28,31,108,114,132.0,107.85714,Normal,Cold,weekday,OP,0,0,1,0,0,1,0,0,1,0,0,0,1
2022-06-22,2,4,41345,11,-60,41,111,146,-36,-1,222,72,69.0,81.36522,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-05-04,2,4,44058,3,-70,39,56,82,-63,19,227,57,57.333332,46.558823,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-03-30,2,4,41348,24,2,47,41,138,-21,66,286,82,96.666664,90.66071,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-01-19,2,4,41362,20,11,32,45,111,47,49,94,53,51.0,52.157894,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-12,3,4,41356,27,-196,0,72,174,-71,401,208,41,44.0,53.60784,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-03-04,4,4,45529,8,2,32,69,135,6,-8,158,87,95.0,90.78378,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-20,4,4,45529,5,29,42,84,86,-7,13,110,90,84.333336,100.176926,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-03-14,0,4,41360,20,-72,48,39,129,-49,10,135,58,47.666668,55.98165,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
