Calendar_date,day_of_week_num,route_id,bus_id,stop_sequence,arrival_delay,dwell_time,travel_time_for_previous_section,scheduled_travel_time,upstream_stop_delay,origin_delay,previous_bus_delay,previous_trip_travel_time,traffic_condition,recurrent_delay,weather,temperature,day_of_week,time_of_day,factor(weather)Light_Rain,factor(weather)Light_Snow,factor(weather)Normal,factor(weather)Rain,factor(weather)Snow,factor(temperature)Cold,factor(temperature)Extra_cold,factor(temperature)Normal,factor(day_of_week)weekday,factor(day_of_week)weekend,factor(time_of_day)Afternoon_peak,factor(time_of_day)Morning_peak,factor(time_of_day)Off-peak
2022-04-29,4,4,41359,1,-1,0,0,180,30,30,0,163,153.0,154.1129,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-04-08,4,4,41346,26,180,10,51,66,173,17,-53,48,51.666668,54.288887,Light Snow,Cold,weekday,OP,0,1,0,0,0,1,0,0,1,0,0,0,1
2022-03-14,0,4,41732,17,38,34,113,93,-1,93,-7,56,77.666664,76.914894,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-28,0,4,44068,14,79,20,60,124,106,28,150,110,91.0,97.979164,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-23,2,4,41365,3,71,20,49,82,87,12,51,68,55.666668,46.494507,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-03-08,1,4,44057,7,65,36,42,112,71,25,37,82,71.0,75.85859,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-06-15,2,4,41730,10,230,52,44,135,192,34,90,112,124.0,109.26396,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-01-27,3,4,41366,22,82,12,69,81,99,90,152,54,51.333332,54.81818,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-06,6,4,41359,15,239,45,149,87,215,34,79,65,55.666668,53.444443,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-03-23,2,4,44411,10,232,42,57,101,177,55,310,116,99.333336,115.46809,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-04-25,0,4,41362,12,-7,20,90,107,32,35,-42,69,54.0,43.848,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-07,0,4,41729,12,10,26,58,107,59,11,-45,31,36.0,44.542168,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-09,2,4,44061,16,83,30,49,159,86,27,32,135,129.0,105.34091,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-18,4,4,45531,17,409,56,126,93,372,43,-19,45,75.333336,84.5,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-23,2,4,41366,11,112,56,92,129,57,99,14,98,70.333336,92.086334,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-06-18,5,4,45543,11,-1,12,105,146,50,20,255,101,90.0,75.803925,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-03-01,1,4,45544,5,14,61,140,138,-36,11,131,124,134.33333,123.14474,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-03,3,4,41732,25,232,27,82,69,228,410,18,36,50.0,49.342857,Normal,Cold,weekday,AP,0,0,1,0,0,1,0,0,1,0,1,0,0
2022-05-28,5,4,44063,7,300,38,61,95,297,294,90,69,76.333336,72.689026,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-05-07,5,4,41724,16,6,15,62,159,34,14,280,119,121.666664,101.973335,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-03-10,3,4,41366,16,98,29,47,179,133,21,-25,90,94.666664,113.41441,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
